id,category,question,answer,keywords
15,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
16,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
17,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
18,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
19,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
20,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
21,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
22,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
23,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
24,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
25,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
26,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
27,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
28,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
29,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
30,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
31,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
32,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
33,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
34,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
35,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
36,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
37,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
38,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
39,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
40,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
41,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
42,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
43,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
44,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
45,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
46,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
47,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
48,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
49,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
50,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
51,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
52,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
53,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
54,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
55,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
56,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
57,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
58,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
59,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
60,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
