id,name,category,building_name,floor_number,x_coordinate,y_coordinate,description
46,Emergency - Diagnostics Building,Emergency,Diagnostics Building,4,28.86,38.63,Emergency - Diagnostics Building located in Diagnostics Building.
47,ATM - Emergency Block,ATM,Emergency Block,2,82.53,62.32,ATM - Emergency Block located in Emergency Block.
48,Neurology,Department,Main Building,3,37.32,98.68,Neurology located in Main Building.
49,Oncology,Department,Cancer Care Building,4,50.91,50.01,Oncology located in Cancer Care Building.
50,Entrance - Main Building,Entrance,Main Building,1,71.36,80.4,Entrance - Main Building located in Main Building.
51,Pharmacy,Department,Emergency Block,4,13.98,93.14,Pharmacy located in Emergency Block.
52,Dentistry,Department,Cancer Care Building,4,73.93,29.92,Dentistry located in Cancer Care Building.
53,ATM - Cancer Care Building,ATM,Cancer Care Building,4,53.23,70.87,ATM - Cancer Care Building located in Cancer Care Building.
54,Cafeteria - Cancer Care Building,Cafeteria,Cancer Care Building,0,36.84,67.38,Cafeteria - Cancer Care Building located in Cancer Care Building.
55,Billing Counter - Emergency Block,Billing Counter,Emergency Block,2,79.68,72.53,Billing Counter - Emergency Block located in Emergency Block.
56,Billing Counter - Main Building,Billing Counter,Main Building,3,26.55,65.56,Billing Counter - Main Building located in Main Building.
57,Entrance - Diagnostics Building,Entrance,Diagnostics Building,4,48.04,52.42,Entrance - Diagnostics Building located in Diagnostics Building.
58,Pediatrics,Department,Emergency Block,0,57.26,70.05,Pediatrics located in Emergency Block.
59,Entrance - Diagnostics Building,Entrance,Diagnostics Building,3,31.37,15.14,Entrance - Diagnostics Building located in Diagnostics Building.
60,Parking - Diagnostics Building,Parking,Diagnostics Building,4,77.5,92.05,Parking - Diagnostics Building located in Diagnostics Building.
